"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"422",14,"Brandon McManus",FA,"K30","-","-","-","-","-51"
"423",14,"Terrell Jennings",FA,"RB115","-","-","-","-","-"
"424",14,"Ben Sinnott",WAS,"TE60","7","-","-","1 out of 5 stars","-"
"425",14,"Cade Klubnik",NYJ,"QB46","13","-","-","4 out of 5 stars","-25"
"426",14,"Las Vegas Raiders",LV,"DST30","13","-","-","4 out of 5 stars","-148"
"427",14,"Greg Dortch",DET,"WR146","6","-","-","4 out of 5 stars","+66"
"428",14,"Austin Hooper",ATL,"TE61","11","-","-","3 out of 5 stars","+200"
"429",14,"Dyami Brown",WAS,"WR147","7","-","-","2 out of 5 stars","+202"
"430",14,"Jeremy McNichols",WAS,"RB116","7","-","-","4 out of 5 stars","-"
"431",14,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-92"
"432",14,"Antonio Gibson",FA,"RB117","-","-","-","-","+187"
"433",14,"Deion Burks",IND,"WR148","13","-","-","4 out of 5 stars","-"
"434",15,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","+3"
"435",15,"Jake Moody",FA,"K32","-","-","-","-","-98"
"436",15,"Zavier Scott",MIN,"RB118","6","-","-","4 out of 5 stars","-"
"437",15,"Elijah Higgins",ARI,"TE62","14","-","-","2 out of 5 stars","-52"
"438",15,"Isaiah Williams",NYJ,"WR149","13","-","-","4 out of 5 stars","+194"
"439",15,"Khalil Herbert",SF,"RB119","8","-","-","2 out of 5 stars","-"
"440",15,"Barion Brown",NO,"WR150","8","-","-","3 out of 5 stars","-10"
"441",15,"Hunter Luepke",DAL,"RB120","14","-","-","4 out of 5 stars","+42"
"442",15,"Damien Martinez",GB,"RB121","11","-","-","4 out of 5 stars","-"
"443",15,"Tai Felton",MIN,"WR151","6","-","-","5 out of 5 stars","+55"
"444",15,"Ronnie Rivers",LAR,"RB122","11","-","-","5 out of 5 stars","-"
"445",15,"Xavier Smith",LAR,"WR152","11","-","-","1 out of 5 stars","+43"
"446",15,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","+80"
"447",15,"Zach Ertz",FA,"TE63","-","-","-","-","-"
"448",15,"Ty Chandler",NO,"RB123","8","-","-","3 out of 5 stars","-"
"449",15,"Robert Henry Jr.",WAS,"RB124","7","-","-","4 out of 5 stars","-"
"450",15,"Noah Whittington",HOU,"RB125","8","-","-","4 out of 5 stars","-"
"451",15,"Odell Beckham Jr.",NYG,"WR153","8","-","-","4 out of 5 stars","-126"
"452",15,"Jahdae Walker",CHI,"WR154","10","-","-","3 out of 5 stars","-53"
"453",15,"Jake Bobo",SEA,"WR155","11","-","-","3 out of 5 stars","-9"
"454",15,"Tanner Koziol",JAC,"TE64","7","-","-","3 out of 5 stars","+90"
"455",15,"Drew Stevens",WAS,"K33","7","-","-","5 out of 5 stars","-88"
"456",15,"Jonnu Smith",FA,"TE65","-","-","-","-","-"
"457",15,"Tyler Goodson",ATL,"RB126","11","-","-","2 out of 5 stars","-"
"458",15,"Marquez Valdes-Scantling",DAL,"WR156","14","-","-","2 out of 5 stars","+59"
"459",15,"Jacob Cowing",SF,"WR157","8","-","-","2 out of 5 stars","-"
"460",15,"Josh Oliver",MIN,"TE66","6","-","-","4 out of 5 stars","-87"
"461",15,"Reggie Gilliam",NE,"RB127","11","-","-","2 out of 5 stars","+123"
"462",15,"Dylan Laube",LV,"RB128","13","-","-","2 out of 5 stars","-"
"463",15,"Will Kacmarek",MIA,"TE67","6","-","-","5 out of 5 stars","+96"
"464",15,"Cash Jones",ATL,"RB129","11","-","-","2 out of 5 stars","-"
"465",15,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-158"
"466",15,"Frank Gore Jr.",BUF,"RB130","7","-","-","2 out of 5 stars","+64"
"467",15,"Xavier Restrepo",TEN,"WR158","9","-","-","3 out of 5 stars","-"
"468",15,"Scotty Miller",CHI,"WR159","10","-","-","3 out of 5 stars","+126"
"469",15,"Roman Hemby",LV,"RB131","13","-","-","2 out of 5 stars","-"
"470",15,"Matt Hibner",BAL,"TE68","13","-","-","4 out of 5 stars","-"
"471",15,"Mitch Tinsley",CIN,"WR160","6","-","-","4 out of 5 stars","+105"
"472",15,"Jackson Hawes",BUF,"TE69","7","-","-","3 out of 5 stars","-43"
"473",15,"Marlin Klein",HOU,"TE70","8","-","-","4 out of 5 stars","+94"
"474",15,"Elijah Moore",PHI,"WR161","10","-","-","4 out of 5 stars","-"
"475",15,"Gardner Minshew II",ARI,"QB48","14","-","-","2 out of 5 stars","+113"
"476",15,"Adam Trautman",DEN,"TE71","10","-","-","4 out of 5 stars","-49"
"477",15,"Tim Patrick",NYJ,"WR162","13","-","-","4 out of 5 stars","+38"
"478",15,"Quinn Ewers",MIA,"QB49","6","-","-","3 out of 5 stars","+29"
"479",15,"Donovan Edwards",MIA,"RB132","6","-","-","3 out of 5 stars","-"
"480",15,"Jeremy Ruckert",NYJ,"TE72","13","-","-","4 out of 5 stars","+154"
"481",15,"Drew Sample",CIN,"TE73","6","-","-","3 out of 5 stars","+152"
